protein,n_persistent,n_recovered,mean_delta_persistent,mean_delta_recovered,cohen_d,welch_t,discrimination_auc
P003,34,33,1.614722,0.144282,2.820013,11.523827,0.973262
P001,36,34,1.569089,0.108623,2.661561,11.156551,0.973856
P004,35,36,1.523123,0.158069,2.454173,10.293911,0.969048
P002,35,36,1.559753,0.225009,2.406016,10.133013,0.944444
P005,33,36,1.389903,0.093452,2.080206,8.643664,0.930135
P007,36,35,-0.889852,0.088507,-1.875085,-7.871302,0.904762
P006,36,35,-0.681083,0.052334,-1.340708,-5.636613,0.823810
P008,34,35,-0.573602,0.094561,-1.280269,-5.316846,0.816807
P031,36,34,0.177638,-0.087993,0.600970,2.500354,0.674020
P027,33,34,0.248735,0.018077,0.532944,2.190019,0.641711
P040,36,35,0.120784,0.323731,-0.438120,-1.847663,0.638889
P019,35,36,0.275770,0.072194,0.372131,1.562239,0.591270
P014,35,35,0.183960,0.012134,0.330144,1.381092,0.575510
P011,36,36,0.156837,0.010030,0.304635,1.292458,0.601080
P026,35,34,-0.026641,0.121117,-0.241144,-1.000953,0.544538
P035,36,36,0.057642,0.201052,-0.234164,-0.993474,0.580247
P029,36,36,0.185976,0.079557,0.218840,0.928459,0.576389
P010,33,35,0.091017,-0.027519,0.220968,0.914565,0.551515
P023,34,35,0.224468,0.118833,0.184819,0.769257,0.537815
P039,34,36,0.120378,0.222919,-0.183194,-0.760803,0.549837
P025,36,36,0.176704,0.095411,0.159142,0.675181,0.558642
P021,36,35,0.158164,0.057219,0.160478,0.674831,0.557143
P036,35,34,0.253890,0.174798,0.157897,0.653010,0.531933
P020,34,34,0.059962,0.120397,-0.109177,-0.450147,0.550173
P015,35,34,0.151248,0.217374,-0.108452,-0.448541,0.516807
P028,36,36,0.233934,0.180761,0.103483,0.439040,0.534722
P009,36,32,0.223583,0.170040,0.107759,0.433289,0.560764
P038,34,32,0.260220,0.210520,0.097938,0.399802,0.518382
P030,35,35,0.049700,0.005251,0.085718,0.358586,0.531429
P017,35,35,0.086108,0.046125,0.072813,0.304599,0.516735
P013,35,35,0.210680,0.246930,-0.066694,-0.279001,0.540408
P037,34,35,0.191129,0.158243,0.058463,0.243324,0.510924
P024,34,34,0.041177,0.072541,-0.053731,-0.221540,0.522491
P032,34,36,0.164859,0.131854,0.050689,0.211233,0.549020
P016,36,35,0.291325,0.260407,0.049740,0.208910,0.526190
P012,35,33,0.107334,0.084065,0.042075,0.173906,0.510823
P034,36,36,0.146142,0.166244,-0.039383,-0.167086,0.518519
P022,36,34,0.089768,0.104986,-0.030972,-0.128926,0.513072
P018,36,36,0.229291,0.235873,-0.012698,-0.053872,0.501543
P033,34,35,0.065467,0.066389,-0.001718,-0.007130,0.507563
